disease
DOID:12236
DOID:4677
DOID:7188
DOID:2043
DOID:0060061
DOID:3910
DOID:3635
DOID:12603
DOID:934
DOID:8398
DOID:12705
DOID:178
DOID:3069
DOID:1240
DOID:13378
DOID:13189
DOID:1793
DOID:3565
DOID:4448
DOID:0050120
DOID:3275
DOID:1936
DOID:678
DOID:9415
DOID:437
DOID:9471
DOID:2351
DOID:0060180
DOID:8778
DOID:11727
DOID:2048
DOID:676
DOID:2055
DOID:10159
DOID:3070
DOID:2228
DOID:0050745
DOID:2988
DOID:13580
DOID:1485
DOID:1100
DOID:850
DOID:0050749
DOID:341
DOID:9352
DOID:3602
DOID:649
DOID:11722
DOID:3146
DOID:633
DOID:14227
DOID:2531
DOID:11720
DOID:0080144
DOID:7148
DOID:3962
DOID:8552
DOID:3082
DOID:4079
DOID:693
DOID:399
DOID:127
DOID:5844
DOID:2860
DOID:3382
DOID:7147
DOID:3371
DOID:1574
DOID:9120
DOID:11612
DOID:11934
DOID:2921
DOID:0050700
DOID:2841
DOID:11729
DOID:12306
DOID:0050744
DOID:3388
DOID:574
DOID:8584
DOID:2987
DOID:363
DOID:1312
DOID:15
DOID:2394
DOID:8893
DOID:0060058
DOID:5426
DOID:11198
DOID:987
DOID:594
DOID:1781
DOID:1470
DOID:898
DOID:2998
DOID:1596
DOID:3068
DOID:1749
DOID:0060060
DOID:2913
DOID:1205
DOID:6419
DOID:3310
DOID:37
DOID:1324
DOID:9119
DOID:3247
DOID:4481
DOID:8283
DOID:0050873
DOID:263
DOID:12347
DOID:9744
DOID:8986
DOID:4226
DOID:635
DOID:10003
DOID:3627
DOID:865
DOID:6000
DOID:0050855
DOID:9255
DOID:8577
DOID:1926
DOID:10754
DOID:0050902
DOID:12028
DOID:8692
DOID:1024
DOID:14330
DOID:1184
DOID:11054
DOID:10825
DOID:90
DOID:9065
DOID:11963
DOID:4450
DOID:2957
DOID:0060318
DOID:3770
DOID:1579
DOID:4362
DOID:9477
DOID:2513
DOID:2377
DOID:0080001
DOID:0050589
DOID:13241
DOID:8469
DOID:1612
DOID:10223
DOID:1270
DOID:1686
DOID:8997
DOID:1094
DOID:10941
DOID:3393
DOID:13636
DOID:4897
DOID:4195
DOID:9408
DOID:707
DOID:10652
DOID:169
DOID:2914
DOID:184
DOID:9778
DOID:9261
DOID:768
DOID:1824
DOID:2462
DOID:9884
DOID:9588
DOID:10534
DOID:3213
DOID:0050908
DOID:2237
DOID:10283
DOID:2871
DOID:0050866
DOID:3905
DOID:2030
DOID:13141
DOID:0050848
DOID:8567
DOID:3996
DOID:11476
DOID:1682
DOID:3451
DOID:12930
DOID:3973
DOID:0050469
DOID:0060170
DOID:640
DOID:612
DOID:332
DOID:11723
DOID:14221
DOID:9253
DOID:824
DOID:2355
DOID:1924
DOID:1920
DOID:3308
DOID:0050909
DOID:0050795
DOID:255
DOID:1380
DOID:2986
DOID:5520
DOID:4947
DOID:0014667
DOID:2321
DOID:0050457
DOID:1826
DOID:8947
DOID:1059
DOID:3829
DOID:4752
DOID:10126
DOID:12140
DOID:684
DOID:1440
DOID:12336
DOID:12849
DOID:8466
DOID:3963
DOID:4159
DOID:1883
DOID:0060224
DOID:1115
DOID:1227
DOID:4971
DOID:769
DOID:12270
DOID:3312
DOID:3883
DOID:10487
DOID:552
DOID:8805
DOID:12361
DOID:83
DOID:1319
DOID:9351
DOID:12858
DOID:289
DOID:1909
DOID:0050328
DOID:4531
DOID:12271
DOID:326
DOID:2843
DOID:2994
DOID:9452
DOID:1307
DOID:3369
DOID:11830
DOID:9074
DOID:784
DOID:6713
DOID:8712
DOID:10763
DOID:0060041
DOID:418
DOID:11984
DOID:10591
DOID:9008
DOID:4977
DOID:3355
DOID:5485
DOID:1993
DOID:13533
DOID:3083
DOID:4074
DOID:0050156
DOID:9952
DOID:10608
DOID:9970
DOID:3458
DOID:1037
DOID:9182
DOID:1432
DOID:10017
DOID:2316
DOID:10690
DOID:12449
DOID:6364
DOID:11119
DOID:0050591
DOID:5419
DOID:936
DOID:715
DOID:1040
DOID:8850
DOID:6432
DOID:5223
DOID:585
DOID:8923
DOID:9538
DOID:10871
DOID:848
DOID:1588
DOID:4001
DOID:12377
DOID:11983
DOID:10584
DOID:3969
DOID:5082
DOID:5517
DOID:14250
DOID:700
DOID:1790
