disease,gene,score
301.0,3935.0,0.4
301.0,4329.0,0.14
301.0,4415.0,0.4
301.0,737.0,0.28
301.0,2610.0,0.22
301.0,6012.0,0.18
301.0,3381.0,0.38
301.0,8516.0,0.16
301.0,4561.0,0.12
301.0,3735.0,0.26
301.0,2103.0,0.16
301.0,558.0,0.16
301.0,7988.0,0.12
301.0,1095.0,0.32
301.0,8392.0,0.16
301.0,5400.0,0.16
301.0,6163.0,0.12
301.0,6044.0,0.1
301.0,2171.0,0.22
301.0,7103.0,0.28
301.0,5878.0,0.28
301.0,140.0,0.18
301.0,3894.0,0.12
301.0,2087.0,0.16
301.0,2550.0,0.34
301.0,1094.0,0.12
301.0,1723.0,0.18
301.0,6687.0,0.14
301.0,5836.0,0.14
301.0,5020.0,0.12
301.0,501.0,0.14
301.0,8192.0,0.52
301.0,6474.0,0.16
301.0,3177.0,0.2
301.0,3866.0,0.32
301.0,9130.0,0.14
301.0,6476.0,0.12
301.0,3788.0,0.16
301.0,5875.0,0.14
301.0,8687.0,0.14
301.0,8698.0,0.64
301.0,5930.0,0.24
301.0,7797.0,0.14
301.0,6437.0,0.16
301.0,4308.0,0.18
301.0,8638.0,0.2
301.0,1940.0,0.2
301.0,6469.0,0.26
301.0,6306.0,0.14
301.0,8788.0,0.32
301.0,4067.0,0.16
301.0,7294.0,0.12
301.0,3854.0,0.12
301.0,3847.0,0.24
301.0,841.0,0.14
301.0,8627.0,0.22
301.0,3340.0,0.14
301.0,5629.0,0.14
301.0,3721.0,0.32
301.0,2226.0,0.22
301.0,3320.0,0.18
301.0,7424.0,0.14
301.0,961.0,0.14
301.0,2432.0,0.16
301.0,5564.0,0.12
301.0,344.0,0.16
301.0,3840.0,0.14
301.0,7321.0,0.1
301.0,8378.0,0.2
301.0,476.0,0.1
301.0,4447.0,0.12
301.0,6423.0,0.38
301.0,8136.0,0.14
301.0,7639.0,0.12
301.0,2748.0,0.28
301.0,4285.0,0.2
301.0,258.0,0.2
301.0,4465.0,0.26
301.0,1677.0,0.2
301.0,2661.0,0.34
301.0,8273.0,0.18
301.0,7712.0,0.16
301.0,698.0,0.28
301.0,2678.0,0.2
301.0,8345.0,0.1
301.0,5137.0,0.14
301.0,2864.0,0.18
301.0,9032.0,0.24
301.0,2570.0,0.36
301.0,5842.0,0.22
301.0,271.0,0.14
301.0,406.0,0.1
301.0,1935.0,0.42
301.0,6089.0,0.32
301.0,1962.0,0.5
301.0,9134.0,0.18
301.0,7818.0,0.24
301.0,4897.0,0.14
301.0,2387.0,0.14
301.0,8242.0,0.14
301.0,6215.0,0.2
301.0,8511.0,0.22
301.0,8026.0,0.28
301.0,743.0,0.18
301.0,3243.0,0.36
301.0,3214.0,0.18
301.0,5993.0,0.54
301.0,437.0,0.18
301.0,3313.0,0.16
301.0,4818.0,0.16
301.0,7492.0,0.18
301.0,3972.0,0.22
301.0,7306.0,0.22
301.0,4945.0,0.32
301.0,9009.0,0.12
301.0,5817.0,0.12
301.0,2895.0,0.14
301.0,6956.0,0.14
301.0,8924.0,0.14
301.0,361.0,0.34
301.0,7784.0,0.58
301.0,8760.0,0.12
301.0,3395.0,0.12
301.0,4238.0,0.62
301.0,4950.0,0.26
301.0,7765.0,0.28
301.0,3937.0,0.22
301.0,7092.0,0.62
301.0,3830.0,0.14
301.0,5606.0,0.32
301.0,3377.0,0.16
301.0,3344.0,0.24
301.0,1808.0,0.14
301.0,2643.0,0.26
301.0,4421.0,0.4
301.0,1327.0,0.22
301.0,3172.0,0.26
301.0,6779.0,0.16
301.0,5505.0,0.24
301.0,6233.0,0.24
301.0,4437.0,0.2
301.0,795.0,0.14
301.0,3781.0,0.22
301.0,4407.0,0.44
301.0,7293.0,0.56
301.0,300.0,0.16
301.0,8524.0,0.36
301.0,8463.0,0.12
301.0,3149.0,0.24
301.0,645.0,0.16
301.0,2672.0,0.26
301.0,1994.0,0.18
301.0,2633.0,0.44
301.0,1.0,0.26
301.0,1141.0,0.38
301.0,1256.0,0.24
301.0,2282.0,0.1
301.0,5118.0,0.14
301.0,4927.0,0.1
301.0,2792.0,0.28
301.0,79.0,0.38
301.0,3321.0,0.12
301.0,4986.0,0.26
301.0,9183.0,0.24
301.0,8896.0,0.16
301.0,3834.0,0.26
301.0,5087.0,0.3
301.0,4984.0,0.12
301.0,3285.0,0.2
301.0,6763.0,0.16
301.0,4270.0,0.24
301.0,3091.0,0.16
301.0,407.0,0.22
301.0,3060.0,0.16
301.0,5148.0,0.48
301.0,1192.0,0.22
301.0,5274.0,0.2
301.0,3303.0,0.16
301.0,1151.0,0.12
301.0,4118.0,0.12
301.0,7419.0,0.14
301.0,7552.0,0.14
301.0,5847.0,0.12
301.0,5712.0,0.14
301.0,3162.0,0.36
301.0,8540.0,0.2
301.0,2525.0,0.14
301.0,204.0,0.12
301.0,3895.0,0.1
301.0,2538.0,0.16
301.0,3153.0,0.24
301.0,2037.0,0.3
301.0,3017.0,0.46
301.0,8109.0,0.1
301.0,1018.0,0.3
301.0,3049.0,0.18
301.0,1626.0,0.24
301.0,9162.0,0.16
301.0,99.0,0.1
301.0,2116.0,0.22
301.0,3054.0,0.34
301.0,1955.0,0.14
301.0,3047.0,0.18
301.0,617.0,0.2
301.0,2974.0,0.4
301.0,5009.0,0.22
301.0,9207.0,0.18
301.0,6842.0,0.3
301.0,2082.0,0.12
301.0,945.0,0.14
144.0,3594.0,0.6
144.0,289.0,0.3
144.0,679.0,0.16
144.0,839.0,0.16
144.0,4944.0,0.64
144.0,4533.0,0.32
144.0,3414.0,0.2
144.0,8424.0,0.32
144.0,6450.0,0.1
144.0,8260.0,0.26
144.0,1566.0,1.0
144.0,6154.0,0.12
144.0,6205.0,0.18
144.0,8010.0,0.22
144.0,2076.0,0.16
144.0,7010.0,0.2
144.0,9105.0,0.16
144.0,2764.0,0.16
144.0,2685.0,0.1
144.0,5146.0,0.16
144.0,3640.0,0.22
144.0,6966.0,0.2
144.0,8335.0,0.12
144.0,5869.0,0.68
144.0,1803.0,0.28
144.0,2266.0,0.2
144.0,3029.0,0.26
144.0,1909.0,0.18
144.0,2013.0,0.68
144.0,508.0,0.32
144.0,7476.0,0.14
144.0,4879.0,0.3
144.0,4553.0,0.22
144.0,2428.0,0.16
144.0,8382.0,0.14
144.0,4467.0,0.16
144.0,7700.0,0.22
144.0,6601.0,0.12
144.0,1453.0,0.12
144.0,5091.0,0.16
144.0,1109.0,0.32
144.0,4625.0,0.1
144.0,8468.0,0.16
144.0,6520.0,0.12
144.0,3532.0,0.12
144.0,8247.0,0.34
144.0,5012.0,0.14
144.0,8020.0,0.2
144.0,5038.0,0.22
144.0,4061.0,0.1
144.0,5316.0,0.26
144.0,5120.0,0.12
144.0,5252.0,0.22
144.0,9084.0,0.34
144.0,2933.0,0.54
144.0,6399.0,0.16
144.0,4713.0,0.1
144.0,2008.0,0.44
144.0,4099.0,0.26
144.0,4563.0,0.12
144.0,4142.0,0.3
144.0,2660.0,0.18
144.0,448.0,0.1
144.0,1014.0,0.54
144.0,5416.0,0.48
144.0,2435.0,0.12
144.0,8230.0,0.32
144.0,3385.0,0.16
144.0,274.0,0.12
144.0,8991.0,0.2
144.0,3647.0,0.28
144.0,2587.0,0.14
144.0,559.0,0.3
144.0,635.0,1.0
144.0,3224.0,0.1
144.0,6790.0,0.26
144.0,2398.0,0.52
144.0,5363.0,0.1
144.0,4295.0,0.16
144.0,328.0,0.12
144.0,922.0,0.3
144.0,8665.0,0.36
144.0,8637.0,0.6
144.0,3009.0,0.5
144.0,6211.0,0.3
144.0,7181.0,0.48
144.0,8671.0,0.2
144.0,537.0,0.14
144.0,2405.0,0.22
144.0,5417.0,0.16
144.0,8069.0,0.48
144.0,1614.0,0.32
144.0,2973.0,0.14
144.0,2788.0,0.18
144.0,2763.0,0.2
144.0,8143.0,0.18
144.0,616.0,0.32
144.0,2713.0,0.12
144.0,3317.0,0.18
144.0,7097.0,0.14
144.0,898.0,0.22
144.0,8690.0,0.16
144.0,6255.0,0.14
144.0,1476.0,0.24
144.0,2716.0,0.12
144.0,6165.0,0.18
144.0,2330.0,0.16
144.0,3694.0,0.28
144.0,125.0,0.18
144.0,9194.0,0.14
144.0,6974.0,0.34
144.0,2631.0,0.3
144.0,8181.0,0.12
144.0,6611.0,0.14
144.0,1200.0,0.22
144.0,1953.0,0.24
144.0,3877.0,0.18
144.0,497.0,0.38
144.0,6849.0,0.1
144.0,9031.0,0.3
144.0,9093.0,0.48
144.0,773.0,0.1
144.0,4820.0,0.14
144.0,8915.0,0.22
144.0,678.0,0.24
144.0,1518.0,0.14
144.0,7887.0,0.14
144.0,9005.0,0.12
144.0,5312.0,0.36
144.0,1150.0,0.16
144.0,973.0,0.18
144.0,6339.0,0.16
144.0,2877.0,0.34
144.0,2342.0,0.12
144.0,4905.0,0.14
144.0,1999.0,0.18
144.0,6301.0,0.2
144.0,857.0,0.28
144.0,2018.0,0.12
144.0,9125.0,0.26
144.0,4276.0,0.14
144.0,153.0,0.34
144.0,6755.0,0.1
144.0,710.0,0.2
144.0,9192.0,0.16
144.0,2100.0,0.16
144.0,4659.0,0.12
144.0,2934.0,0.18
144.0,676.0,0.48
144.0,8641.0,0.26
144.0,3133.0,0.12
144.0,3211.0,0.26
144.0,8543.0,0.18
144.0,7967.0,0.22
144.0,5953.0,0.14
144.0,7707.0,0.14
144.0,3002.0,0.6
144.0,7796.0,0.28
144.0,2205.0,0.2
144.0,3641.0,0.32
144.0,4781.0,0.18
144.0,8943.0,0.16
144.0,8937.0,0.2
144.0,1534.0,0.16
144.0,1945.0,0.1
144.0,7709.0,0.16
144.0,7540.0,0.6
144.0,3664.0,0.16
144.0,8266.0,0.12
144.0,2297.0,0.12
144.0,6131.0,0.22
144.0,1706.0,0.18
144.0,5140.0,0.26
144.0,652.0,0.44
144.0,6978.0,0.22
144.0,7384.0,0.24
144.0,7866.0,0.22
144.0,6178.0,0.46
144.0,8649.0,0.18
144.0,9203.0,0.12
144.0,4962.0,0.16
144.0,3053.0,0.1
144.0,3155.0,0.16
144.0,5298.0,0.16
144.0,1618.0,0.22
144.0,3880.0,0.34
144.0,5287.0,0.72
144.0,4710.0,0.16
144.0,2790.0,0.26
144.0,1735.0,0.64
144.0,7974.0,0.18
144.0,6976.0,0.2
144.0,8430.0,0.44
144.0,9197.0,0.12
144.0,5198.0,0.1
144.0,2459.0,0.24
144.0,6620.0,0.12
144.0,8179.0,0.2
144.0,7175.0,0.72
144.0,4635.0,0.38
144.0,8164.0,0.28
144.0,2228.0,0.42
144.0,2147.0,0.28
144.0,1767.0,0.1
144.0,1776.0,0.12
144.0,1440.0,0.22
144.0,6413.0,0.12
144.0,5452.0,0.66
144.0,2167.0,0.18
144.0,728.0,0.6
144.0,9116.0,0.1
144.0,370.0,0.32
144.0,8090.0,0.6
144.0,2839.0,0.14
144.0,9224.0,0.3
144.0,2247.0,0.26
144.0,1348.0,0.14
144.0,6592.0,0.22
144.0,5625.0,0.16
144.0,5849.0,0.38
144.0,4286.0,0.24
144.0,8558.0,0.4
144.0,5168.0,0.16
144.0,904.0,0.2
144.0,5033.0,0.14
144.0,3043.0,0.18
144.0,1017.0,0.24
144.0,3164.0,0.38
144.0,47.0,0.18
144.0,1227.0,0.22
144.0,7290.0,0.24
144.0,1870.0,0.16
144.0,3995.0,0.18
144.0,8685.0,0.38
144.0,7991.0,0.2
144.0,3516.0,0.22
144.0,3629.0,0.14
144.0,2133.0,0.28
144.0,3511.0,0.22
144.0,6727.0,0.24
144.0,6319.0,0.26
144.0,5222.0,0.14
144.0,9143.0,0.18
144.0,2856.0,0.22
144.0,7685.0,0.24
144.0,301.0,0.18
144.0,6207.0,0.22
144.0,3746.0,0.14
144.0,1549.0,0.16
144.0,3160.0,0.18
144.0,3815.0,0.12
144.0,6344.0,0.14
144.0,414.0,0.56
144.0,3818.0,0.34
144.0,1661.0,0.14
144.0,2624.0,0.12
144.0,6549.0,0.2
144.0,5778.0,0.22
144.0,7331.0,0.68
144.0,8102.0,0.4
144.0,5942.0,0.12
144.0,662.0,0.28
144.0,2481.0,0.16
144.0,9020.0,0.16
144.0,8005.0,0.14
144.0,173.0,0.16
144.0,6150.0,0.12
144.0,2325.0,0.24
144.0,4619.0,0.24
144.0,7537.0,0.3
144.0,7723.0,0.16
144.0,5691.0,0.14
144.0,6915.0,0.6
144.0,2181.0,0.42
144.0,769.0,0.46
144.0,6388.0,0.2
144.0,2101.0,0.12
144.0,9163.0,0.22
144.0,4.0,0.22
144.0,8709.0,0.1
144.0,5700.0,0.12
144.0,321.0,0.16
144.0,7168.0,0.22
144.0,2543.0,0.4
144.0,5562.0,0.14
144.0,761.0,0.68
144.0,7976.0,0.28
144.0,5447.0,0.18
144.0,4964.0,0.4
144.0,8214.0,0.16
144.0,8766.0,0.18
144.0,4598.0,0.18
144.0,3500.0,0.12
144.0,4793.0,0.16
144.0,8509.0,0.4
144.0,3137.0,0.16
144.0,3678.0,0.18
144.0,849.0,0.26
144.0,6585.0,0.16
144.0,6847.0,0.22
144.0,540.0,0.2
144.0,3755.0,0.12
144.0,877.0,0.34
144.0,4900.0,0.7
144.0,4178.0,0.14
144.0,1583.0,0.6
144.0,2505.0,0.16
144.0,6170.0,0.12
144.0,8841.0,0.16
144.0,4930.0,0.12
144.0,6460.0,0.6
144.0,2448.0,0.24
144.0,5799.0,0.24
144.0,990.0,0.12
144.0,7918.0,0.24
144.0,3231.0,0.18
144.0,625.0,0.38
144.0,8838.0,0.14
144.0,1266.0,0.12
144.0,2665.0,0.12
144.0,8779.0,0.12
144.0,6461.0,0.14
144.0,8568.0,0.18
144.0,2744.0,0.2
144.0,7620.0,0.12
144.0,3105.0,0.32
144.0,30.0,0.14
144.0,5267.0,0.22
144.0,4316.0,0.24
144.0,7959.0,0.16
144.0,4068.0,0.24
144.0,6963.0,0.24
144.0,7367.0,0.6
144.0,7398.0,0.22
144.0,623.0,0.24
144.0,7273.0,0.18
144.0,5613.0,0.2
144.0,6563.0,0.22
144.0,4335.0,0.4
144.0,2170.0,0.18
144.0,1633.0,0.14
144.0,8043.0,0.3
144.0,6445.0,0.54
144.0,1819.0,0.1
144.0,4383.0,0.46
144.0,8847.0,0.18
144.0,6268.0,1.0
144.0,2201.0,0.16
144.0,9147.0,0.24
144.0,8929.0,0.18
144.0,3784.0,0.1
144.0,7263.0,0.3
144.0,576.0,0.16
144.0,6004.0,0.28
144.0,2902.0,0.16
144.0,6919.0,0.3
144.0,5490.0,0.16
144.0,7596.0,0.16
144.0,6112.0,0.26
144.0,7253.0,0.14
144.0,811.0,0.22
144.0,3682.0,0.1
144.0,5336.0,0.12
144.0,4394.0,0.38
144.0,657.0,0.26
144.0,7302.0,0.26
144.0,1462.0,0.12
144.0,5444.0,0.12
144.0,3369.0,0.12
144.0,3822.0,0.2
144.0,8188.0,0.28
144.0,7055.0,0.12
144.0,976.0,0.16
144.0,7909.0,0.22
144.0,457.0,0.22
144.0,6086.0,0.28
144.0,6534.0,0.2
144.0,8161.0,0.16
144.0,7956.0,0.24
144.0,4729.0,0.16
144.0,4415.0,0.3
144.0,6760.0,0.12
144.0,8490.0,0.64
144.0,6012.0,0.12
144.0,7399.0,0.24
144.0,7704.0,0.16
144.0,5242.0,0.18
144.0,8516.0,0.26
144.0,1670.0,0.18
144.0,6066.0,0.34
144.0,3735.0,0.14
144.0,664.0,0.12
144.0,2103.0,0.14
144.0,8200.0,0.18
144.0,5277.0,0.12
144.0,1095.0,0.36
144.0,8959.0,0.12
144.0,4825.0,0.16
144.0,4510.0,0.6
144.0,4375.0,0.28
144.0,1785.0,0.28
144.0,4573.0,0.1
144.0,3884.0,0.22
144.0,105.0,0.16
144.0,2171.0,0.24
144.0,7078.0,0.26
144.0,140.0,0.14
144.0,6258.0,0.2
144.0,9041.0,0.16
144.0,4728.0,0.22
144.0,4605.0,0.26
144.0,8962.0,0.18
144.0,4046.0,0.16
144.0,3751.0,0.18
144.0,7394.0,0.14
144.0,1571.0,0.12
144.0,5573.0,0.22
144.0,1094.0,0.26
144.0,4028.0,0.32
144.0,5836.0,0.12
144.0,9037.0,0.18
144.0,541.0,0.16
144.0,8833.0,0.38
144.0,454.0,0.3
144.0,132.0,0.16
144.0,4040.0,0.32
144.0,441.0,0.3
144.0,8694.0,0.22
144.0,1873.0,0.32
144.0,6103.0,0.2
144.0,2894.0,0.1
144.0,1332.0,0.2
144.0,1561.0,0.24
